Territory_code,Plant_code,Brand_code,Package,Week_End_Date,Sum of Plan,fact,row_id
A,a,AC,TP 1.0,2024-09-20,40.58441114425659,90.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-09-27,40.58441114425659,47.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-10-04,33.45134210586548,0.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-10-11,13.938059151172638,78.19399810791016,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-10-18,63.31466621160507,23.252999076843263,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-10-25,69.03506416082382,69.74400068283082,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-11-01,3.963022530078888,0.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-11-08,1.981511265039444,0.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-11-15,3.601102262735367,0.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-11-22,51.44431734085083,240.92699981689452,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-11-29,45.11229322850704,76.08600069046021,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-12-06,0.0,0.01,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-12-13,124.107586145401,97.21799732208252,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-12-20,124.107586145401,92.99500204086304,A_a_AC_TP 1.0
A,a,AC,TP 1.0,2024-12-27,74.46455013751984,16.914999732971193,A_a_AC_TP 1.0
A,a,AD,PET 1.0,2023-01-06,254.0,188.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-01-13,265.0,266.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-01-20,1923.0,557.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-01-27,1137.0,1505.01,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-02-03,129.06699752807617,357.15599609375,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-02-10,2126.4819688797,1139.1250245666504,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-02-17,526.7659873962402,1724.5649621582031,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-02-24,465.1370105743408,6699.518123397827,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-03-03,2694.585935592652,42.27600027084351,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-03-10,87.69600009918213,14.801999816894531,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-03-17,49.0500018298626,57.06800104141235,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-03-24,50.357000112533576,141.60199714660644,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-03-31,30.48300075531006,116.24500347137453,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-04-07,67.00499844551086,35.93500019073486,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-04-14,67.00499844551086,80.31699825286866,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-04-21,69.88199806213379,141.60199905395507,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-04-28,448.5870151519776,103.56400371551514,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-05-05,121.89999961853027,82.42600179672242,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-05-12,112.7100019454956,101.45099664688111,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-05-19,136.67999935150146,133.14699722290038,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-05-26,126.69300365447998,183.87000442504882,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-06-02,189.68600273132324,95.10400177001952,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-06-09,35.4300000667572,78.20199752807618,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-06-16,158.2609977722168,84.5410001373291,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-06-23,136.61299896240234,71.86099887847901,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-06-30,121.61200141906738,86.65300060272217,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-07-07,30.895000219345093,112.01399684906006,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-07-14,33.283000230789185,131.03699756622314,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-07-21,827.4480118751526,103.55999828338625,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-07-28,1446.1879568099976,105.67499710083008,A_a_AD_PET 1.0
A,a,AD,PET 1.0,2023-08-04,87.35299921035767,150.0570037460327,A_a_AD_PET 1.0
